,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,WMA,MOM,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADOSC,CCI
86,2020-01-09,99.41999799999999,99.760002,94.57399699999999,96.26799799999999,96.26799799999999,142202000,79.0582,433.9300,447.5336,102.3500,81.4207,84.4077,33.1735,5.3998,27.7737,18006806.1640,156.5618
87,2020-01-10,96.358002,96.987999,94.739998,95.629997,95.629997,64797500,77.1775,439.5967,453.0611,85.0000,73.1508,78.7793,33.4407,4.5336,28.9071,14460440.5648,114.8444
88,2020-01-13,98.699997,105.125999,98.400002,104.972,104.972,132588000,83.3802,447.6513,463.7190,120.8200,86.0427,82.4110,36.9950,6.4704,30.5247,19746117.2870,169.4936
89,2020-01-14,108.851997,109.48200200000001,104.980003,107.584,107.584,144981000,84.6314,456.4733,475.0026,132.3300,87.0287,84.7198,40.4000,7.9003,32.4998,21560161.8509,172.4018
90,2020-01-15,105.952003,107.568001,103.358002,103.699997,103.699997,86844000,75.5673,463.0920,482.7559,99.2800,74.1221,79.4209,41.0582,6.8467,34.2114,15713701.7357,121.4162
91,2020-01-16,98.75,102.891998,98.433998,102.697998,102.697998,108683500,73.3946,468.9747,489.0557,88.2400,64.0519,71.7364,40.7063,5.1959,35.5104,18207722.1443,75.6458
92,2020-01-17,101.522003,103.134003,100.63200400000001,102.099998,102.099998,68145500,72.0696,474.2787,494.2463,79.5600,48.7197,60.2281,39.7281,3.3742,36.3540,18324975.9003,71.3338
93,2020-01-21,106.050003,109.716003,105.681999,109.440002,109.440002,89017500,77.4285,482.0667,503.3615,116.8200,73.1367,66.6824,41.4367,4.0662,37.3705,21596639.6934,116.2510
94,2020-01-22,114.377998,118.900002,111.82,113.912003,113.912003,156845000,79.9409,492.3907,514.2982,154.8600,74.3823,70.5323,44.0868,5.3730,38.7138,16889074.4060,152.7849
95,2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000,80.2194,502.6487,524.2743,153.8700,76.2950,73.4137,45.8713,5.7260,40.1453,15038397.6826,127.4645
96,2020-01-24,114.125999,114.772003,110.851997,112.96399699999999,112.96399699999999,71768000,77.0165,511.6193,532.0458,134.5600,71.9005,72.6571,46.1579,4.8101,41.3478,13268355.3376,106.2627
97,2020-01-27,108.398003,112.888,107.856003,111.603996,111.603996,68040500,74.0959,519.2867,537.8458,115.0100,58.3515,65.5043,45.3140,3.1730,42.1410,13458213.9061,75.0258
98,2020-01-28,113.697998,115.362,111.615997,113.379997,113.379997,58942500,75.4011,526.9773,543.7975,115.3600,54.1848,59.8446,44.8448,2.1630,42.6818,12094124.9651,90.7991
99,2020-01-29,115.138,117.959999,113.486,116.197998,116.197998,89007500,77.3419,534.4393,550.5491,111.9300,68.3731,64.1088,45.0901,1.9267,43.1635,11639328.9671,103.5838
100,2020-01-30,126.484001,130.175995,123.599998,128.162003,128.162003,145028500,83.3261,544.3507,563.8454,148.6700,79.6749,71.8919,49.5405,5.1016,44.4389,13971145.5196,190.4839
101,2020-01-31,128.0,130.600006,126.503998,130.113998,130.113998,78596500,84.0620,555.6327,577.1228,169.2300,88.7690,80.3304,53.2412,7.0419,46.1993,17469659.7429,174.7175
102,2020-02-03,134.738007,157.227997,134.703995,156.0,156.0,236167500,90.2043,575.7560,605.1688,301.8500,93.0384,86.6844,65.8588,15.7276,50.1312,30702826.6340,269.2160
103,2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003,304694000,92.6982,599.9027,644.0818,362.2000,86.3177,86.5011,83.5343,26.7224,56.8118,29199320.1628,278.8067
104,2020-02-05,164.651993,169.195999,140.82200600000002,146.940002,146.940002,242119000,66.7759,613.0213,660.9314,196.7800,59.7833,73.1422,84.2765,21.9718,62.3048,17166552.5764,119.3303
105,2020-02-06,139.983994,159.166,137.399994,149.792007,149.792007,199404000,67.6822,628.3853,677.9238,230.4600,47.1948,60.1685,85.0352,18.1843,66.8508,12442922.8129,87.4196
106,2020-02-07,146.110001,153.949997,146.0,149.613998,149.613998,85317500,67.5589,644.0240,692.8843,234.5800,36.2129,48.1907,84.5895,14.1909,70.3986,8886278.3800,77.5469
107,2020-02-10,160.0,163.998001,150.479996,154.255997,154.255997,123446000,69.1294,661.4093,708.7913,260.7800,33.0502,40.6205,85.1279,11.7835,73.3445,3156449.2375,84.2804
108,2020-02-11,153.757996,156.701996,151.600006,154.87600700000002,154.87600700000002,58487500,69.3418,676.5547,722.9127,227.1800,44.0066,42.3135,84.8269,9.1859,75.6409,1583259.7789,66.7098
109,2020-02-12,155.574005,157.949997,152.673996,153.457993,153.457993,60112500,68.1921,689.7367,734.2546,197.7300,52.1898,47.2516,83.0588,5.9343,77.1245,-1892719.7462,59.2488
110,2020-02-13,148.367996,163.600006,147.0,160.800003,160.800003,131446500,70.8713,705.1900,748.5375,231.8000,67.2106,57.2311,83.6554,5.2247,78.4307,2400278.7602,60.5422
111,2020-02-14,157.444,162.59399399999998,157.100006,160.005997,160.005997,78468500,70.1863,720.8707,760.3925,235.2100,71.8627,64.5469,82.8528,3.5377,79.3151,4227325.7646,65.0569
112,2020-02-18,168.320007,172.0,166.472,171.679993,171.679993,81908500,74.1259,740.8960,777.5837,300.3800,85.2914,74.9191,85.9361,5.2968,80.6393,9199353.9197,105.0458
113,2020-02-19,184.699997,188.955994,180.203995,183.483994,183.483994,127115000,77.3661,764.2640,799.6492,350.5200,86.1246,80.5218,92.0806,9.1530,82.9275,8371079.3991,165.8237
114,2020-02-20,182.389999,182.399994,171.988007,179.882004,179.882004,88174500,74.3231,785.4920,816.5424,318.4200,82.2486,81.3852,94.4086,9.1848,85.2238,10168399.1465,120.8585
115,2020-02-21,181.395996,182.612,176.08999599999999,180.199997,180.199997,71574000,74.4182,802.8380,830.9809,260.1900,77.3812,79.3832,95.2835,8.0478,87.2357,11165083.0197,107.5873
116,2020-02-24,167.800003,172.699997,164.440002,166.757996,166.757996,75961000,63.7211,815.0527,834.8499,183.2200,43.4181,61.4007,89.5216,1.8287,87.6929,8436988.0277,31.3355
117,2020-02-25,169.800003,171.320007,157.399994,159.98199499999998,159.98199499999998,86452500,59.1304,816.3800,832.9571,19.9100,25.8002,43.6004,81.2845,-5.1267,86.4112,3093365.9885,-5.1891
118,2020-02-26,156.5,162.662003,155.222,155.759995,155.759995,70427500,56.4171,809.1627,828.2596,-108.2600,13.8822,28.7413,72.2206,-11.3525,83.5731,-3207459.2293,-31.7015
119,2020-02-27,146.0,147.953995,133.800003,135.800003,135.800003,121386000,45.7769,805.4493,811.9893,-55.7000,8.9898,18.8656,56.3349,-21.7905,78.1254,-11035040.8540,-149.0936
120,2020-02-28,125.940002,138.104004,122.304001,133.598007,133.598007,24564200,44.7787,800.0513,794.8068,-80.9700,15.7001,17.2828,42.3686,-28.6055,70.9741,-9876186.6792,-177.3542
121,2020-03-02,142.251999,148.738007,137.334,148.723999,148.723999,20195000,52.4156,799.7547,787.7529,-4.4500,34.8005,26.0417,36.9767,-27.1979,64.1746,-2094369.8411,-89.7208
122,2020-03-03,161.0,161.395996,143.222,149.102005,149.102005,25695000,52.5911,798.0367,780.9723,-25.7700,50.6006,38.3211,32.4816,-25.3544,57.8360,-1615872.1473,-48.5619
123,2020-03-04,152.792007,153.304001,144.945999,149.899994,149.899994,75245000,52.9835,796.3780,774.9053,-24.8800,60.5965,49.4588,28.9080,-23.1424,52.0504,-385226.9172,-55.9150
124,2020-03-05,144.753998,149.149994,143.613998,144.908005,144.908005,54263500,50.1991,793.5280,765.9255,-42.7500,59.2095,54.3342,23.7876,-22.6103,46.3978,-1685603.1063,-69.1798
125,2020-03-06,138.0,141.399994,136.854004,140.695999,140.695999,63314500,47.9224,786.8267,754.6695,-100.5200,37.4322,45.8832,17.8248,-22.8584,40.6832,716860.3325,-88.4874
126,2020-03-09,121.07800300000001,132.600006,121.0,121.599998,121.599998,85368500,39.2707,774.0247,732.3162,-192.0300,19.4587,32.6710,5.3333,-28.2799,33.6132,-3236036.7549,-131.2939
